ranking,titulo,anio,puntaje,genero,votos,direccion,duracion,ganancias
1,The Shawshank Redemption,1994,9.3,Drama,2011509,Frank Darabont,142,28.34
4,Fight Club,1999,8.8,Drama,1609459,David Fincher,139,37.03
32,American Beauty,1999,8.4,Drama,959669,Sam Mendes,122,130.1
53,One Flew Over the Cuckoo's Nest,1975,8.7,Drama,799024,Milos Forman,133,112
80,Requiem for a Dream,2000,8.3,Drama,676482,Darren Aronofsky,102,3.64
87,Gran Torino,2008,8.1,Drama,650579,Clint Eastwood,116,148.1
126,Trainspotting,1996,8.2,Drama,570676,Danny Boyle,93,16.5
212,There Will Be Blood,2007,8.1,Drama,447035,Paul Thomas Anderson,158,40.22
227,Rain Man,1988,8,Drama,429976,Barry Levinson,133,172.83
284,The Help,2011,8.1,Drama,379567,Tate Taylor,146,169.71
305,Lost in Translation,2003,7.8,Drama,364097,Sofia Coppola,102,44.59
401,Boyhood,2014,7.9,Drama,308492,Richard Linklater,165,25.38
501,Babel,2006,7.5,Drama,267737,Alejandro G. Iñárritu,143,34.3
507,Magnolia,1999,8,Drama,264570,Paul Thomas Anderson,188,22.46
615,Jagten,2012,8.3,Drama,228628,Thomas Vinterberg,115,0.69
630,Scent of a Woman,1992,8,Drama,224095,Martin Brest,156,63.9
672,Boogie Nights,1997,7.9,Drama,214391,Paul Thomas Anderson,155,26.4
718,Moonlight,2016,7.4,Drama,207369,Barry Jenkins,111,27.85
753,Philadelphia,1993,7.7,Drama,200935,Jonathan Demme,125,77.32
767,Manchester by the Sea,2016,7.8,Drama,198919,Kenneth Lonergan,137,47.7
778,The Passion of the Christ,2004,7.2,Drama,196667,Mel Gibson,127,370.78
795,What's Eating Gilbert Grape,1993,7.8,Drama,192291,Lasse Hallström,118,9.17
805,Cinema Paradiso,1988,8.5,Drama,191394,Giuseppe Tornatore,155,11.99
890,Blue Jasmine,2013,7.3,Drama,174786,Woody Allen,98,33.41
941,Shame,2011,7.2,Drama,167007,Steve McQueen,101,4
